org_id,name,category,subcategory,area,website,verification_status,last_verified
ORG-00056,Punjabi Community Health Services (PCHS),ethnocultural-diaspora,Punjabi/South Asian community,,https://pchs4u.com/,verified-live,2026-07-30
ORG-00057,The Arab Community Centre of Toronto (ACCT),ethnocultural-diaspora,Arab community,,https://acctonline.ca/,verified-live,2026-07-30
ORG-00058,Council Fire Native Cultural Centre,ethnocultural-diaspora,Indigenous community centre,,https://www.councilfire.ca/,verified-live,2026-07-30
ORG-00059,Native Women's Resource Centre of Toronto (NWRCT),ethnocultural-diaspora,Indigenous women,,https://nwrct.ca/,verified-live,2026-07-30
ORG-00060,Anishnawbe Health Toronto (AHT),ethnocultural-diaspora,Indigenous health,,https://aht.ca/,verified-live,2026-07-30
ORG-00061,Miziwe Biik,ethnocultural-diaspora,Indigenous employment/training,,https://www.miziwebiik.com/,verified-live,2026-07-30
ORG-00062,ISKCON Toronto (Hare Krishna Temple),faith-spiritual,Hindu/Vaishnava,,https://torontokrishna.com/,verified-live,2026-07-30
ORG-00063,Sikh Spiritual Centre Toronto (Gurdwara),faith-spiritual,Sikh gurdwara,,https://ssctoronto.org/,verified-live,2026-07-30
ORG-00064,Sikh Sewa Society of Toronto,faith-spiritual,Sikh service organization,,http://www.sikhsewasocietytoronto.ca/,verified-live,2026-07-30
ORG-00066,Toronto Zen Centre,faith-spiritual,Buddhist/Zen,,https://torontozen.org/,verified-live,2026-07-30
ORG-00067,All Saints Church-Community Centre,faith-spiritual,Christian (Anglican) + community services,,https://allsaintstoronto.com/,verified-live,2026-07-30
ORG-00068,Out of the Cold Foundation,faith-spiritual,interfaith host-congregation network,,https://outofthecold.org/,verified-live,2026-07-30
ORG-00071,Unifor,labour,private-sector/general union,,https://www.unifor.org/,verified-live,2026-07-30
ORG-00072,Ontario Federation of Labour (OFL),labour,labour council / federation,,https://ofl.ca/,verified-live,2026-07-30
ORG-00073,Toronto & York Region Labour Council,labour,regional labour council,,https://labourcouncil.ca/,verified-live,2026-07-30
ORG-00074,University of Toronto,post-secondary,university,,https://www.utoronto.ca/,verified-live,2026-07-30
ORG-00075,University of Toronto Students' Union (UTSU),post-secondary,student union,,https://www.utsu.ca/,verified-live,2026-07-30
ORG-00076,Toronto Metropolitan University (TMU),post-secondary,university,,https://www.torontomu.ca/,verified-live,2026-07-30
ORG-00077,Toronto Metropolitan Students' Union (TMSU),post-secondary,student union,,https://yourtmsu.ca/,verified-live,2026-07-30
ORG-00078,York University,post-secondary,university,,https://www.yorku.ca/,verified-live,2026-07-30
ORG-00079,York Federation of Students (YFS),post-secondary,student union,,https://www.yfs.ca/,verified-live,2026-07-30
ORG-00080,OCAD University,post-secondary,university (art & design),,https://www.ocadu.ca/,verified-live,2026-07-30
ORG-00082,Seneca Polytechnic,post-secondary,college,,https://www.senecapolytechnic.ca/,verified-live,2026-07-30
ORG-00083,Humber College,post-secondary,college,,https://humber.ca/,verified-live,2026-07-30
ORG-00084,Centennial College,post-secondary,college,,https://www.centennialcollege.ca/,verified-live,2026-07-30
ORG-00085,Maytree,research-policy,poverty/policy think tank,,https://maytree.com/,verified-live,2026-07-30
ORG-00086,Wellesley Institute,research-policy,urban health policy research,,https://www.wellesleyinstitute.com/,verified-live,2026-07-30
ORG-00087,Canadian Observatory on Homelessness (COH),research-policy,homelessness research,,https://homelesshub.ca/,verified-live,2026-07-30
ORG-00088,John Howard Society of Toronto,research-policy,criminal-justice reform + reintegration services,,https://johnhoward.on.ca/toronto/,verified-live,2026-07-30
ORG-00089,Dream Team,research-policy,psychiatric-survivor housing advocacy,,https://www.thedreamteam.ca/,verified-live,2026-07-30
ORG-00091,Toronto Region Board of Trade,fraternal-chambers,chamber of commerce,,https://www.bot.com/,verified-live,2026-07-30
ORG-00097,"Royal Canadian Legion, Ontario Command",fraternal-chambers,veterans' service organization,,https://on.legion.ca/,verified-live,2026-07-30
ORG-00098,Kiwanis Club of Toronto,fraternal-chambers,service club,,https://torontokiwanis.ca/,verified-live,2026-07-30
ORG-00099,MaRS Discovery District,business-incubator,innovation hub,,https://www.marsdd.com/,verified-live,2026-07-30
ORG-00100,Civic Tech Toronto,deliberation-civic-tech,civic-tech community,,https://civictech.ca/,verified-live,2026-07-30
ORG-00101,CSI (Centre for Social Innovation),business-incubator,social-innovation coworking/incubator,,https://socialinnovation.org/,verified-live,2026-07-30
ORG-00102,DMZ (Toronto Metropolitan University),business-incubator,startup incubator,,https://dmz.torontomu.ca/,verified-live,2026-07-30
ORG-00103,MASS LBP,deliberation-civic-tech,civic lottery / deliberative democracy,,https://www.masslbp.com/,verified-live,2026-07-30
ORG-00104,Toastmasters District 60,facilitation-civic-engagement,"public-speaking/facilitation clubs (~100 clubs, ~2000 members)",,https://www.toastmasters60.com/,verified-live,2026-07-30
ORG-00105,International Association of Facilitators (IAF) — global HQ,facilitation-civic-engagement,professional facilitation body (HQ in Toronto),,https://www.iaf-world.org/,verified-live,2026-07-30
ORG-00106,ICA Associates (Institute of Cultural Affairs),facilitation-civic-engagement,facilitator training,,https://ica-associates.ca/,verified-live,2026-07-30
ORG-00108,Alternative Dispute Resolution Institute of Ontario (ADRIO),facilitation-civic-engagement,mediation/ADR professional body,,https://adr-ontario.ca/,verified-live,2026-07-30
ORG-00109,Ontario Association for Family Mediation (OAFM),facilitation-civic-engagement,family mediation professional body,,https://oafm.on.ca/,verified-live,2026-07-30
ORG-00110,Centre for Addiction and Mental Health (CAMH),health,psychiatric teaching hospital,,https://www.camh.ca/,verified-live,2026-07-30
ORG-00111,University Health Network (UHN),health,"hospital network (Toronto General, Toronto Western, Princess Margaret, Toronto Rehab)",,https://www.uhn.ca/,verified-live,2026-07-30
ORG-00113,The Hospital for Sick Children (SickKids),health,paediatric hospital,,https://www.sickkids.ca/,verified-live,2026-07-30
ORG-00114,Toronto Public Library (TPL),civil-society-advocacy,public library system,,https://www.tpl.ca/,verified-live,2026-07-30
ORG-00115,United Way Greater Toronto,civil-society-advocacy,community foundation / funder,,https://www.unitedwaygt.org/,verified-live,2026-07-30
ORG-00116,Toronto Foundation,civil-society-advocacy,community foundation,,https://torontofoundation.ca/,verified-live,2026-07-30
ORG-00118,Toronto Drop-In Network (TDIN),civil-society-advocacy,drop-in services network,,https://tdin.ca/,verified-live,2026-07-30
ORG-00119,WoodGreen Community Services,civil-society-advocacy,multi-service community agency,,https://www.woodgreen.org/,verified-live,2026-07-30
ORG-00120,The Neighbourhood Group Community Services (TNG),civil-society-advocacy,multi-service community agency,,https://tngcommunityto.org/,verified-live,2026-07-30
ORG-00121,West Neighbourhood House,civil-society-advocacy,settlement house / community services,,https://www.westnh.org/,verified-live,2026-07-30
ORG-00122,Parkdale Activity-Recreation Centre (PARC),civil-society-advocacy,drop-in / mental health community services,,https://parc.on.ca/,verified-live,2026-07-30
ORG-00123,The 519,civil-society-advocacy,LGBTQ2S+ community services,,https://www.the519.org/,verified-live,2026-07-30
ORG-00624,Progress Toronto,civic-advocacy,municipal progressive/civic advocacy organization,Toronto,https://www.progresstoronto.ca/,verified-live,2026-07-30
ORG-00625,More Neighbours Toronto,civic-advocacy,housing/YIMBY advocacy — 200+ active volunteers,Toronto,https://www.moreneighbours.ca/,verified-live,2026-07-30
ORG-00626,TTCriders,civic-advocacy,transit rider advocacy (est. 2010),Toronto,https://www.ttcriders.ca/,verified-live,2026-07-30
ORG-00627,Walk Toronto,civic-advocacy,pedestrian advocacy — all-volunteer steering committee (est. 2013),Toronto,https://www.walktoronto.ca/,verified-live,2026-07-30
ORG-00628,Cycle Toronto,civic-advocacy,cycling advocacy charity (est. 2008),Toronto,https://www.cycleto.ca/,verified-live,2026-07-30
ORG-00629,Toronto ACORN,tenant-housing-advocacy,tenant union — 6 Toronto neighbourhood chapters (part of ACORN Canada),Toronto,https://acorncanada.org/locations/toronto-acorn/,verified-live,2026-07-30
ORG-00630,Environmental Defence Canada,environment-climate,environmental advocacy org (est. 1984) — Toronto HQ,Toronto,https://environmentaldefence.ca/,verified-live,2026-07-30
ORG-00631,Toronto Environmental Alliance (TEA),environment-climate,environmental advocacy/watchdog — 60000+ supporters (est. 1988),Toronto,https://www.torontoenvironment.org/,verified-live,2026-07-30
ORG-00632,David Suzuki Foundation — Toronto office,environment-climate,national environmental foundation (Toronto office),Toronto,https://davidsuzuki.org/,verified-live,2026-07-30
ORG-00633,Community Climate Council,environment-climate,youth-founded climate literacy/advocacy org — Peel Region,Peel,https://www.communityclimatecouncil.org/,verified-live,2026-07-30
ORG-00634,Halton Environmental Network (HEN),environment-climate,environmental education/advocacy nonprofit (est. 2004) — Halton Region,Halton,https://www.haltonenvironet.ca/,verified-live,2026-07-30
ORG-00635,York Region Environmental Alliance (YREA),environment-climate,environmental advocacy charity (est. 2002) — York Region,York,https://yrea.org/,verified-live,2026-07-30
ORG-00636,Durham Climate Roundtable (Brilliant Energy Institute),environment-climate,multi-stakeholder regional climate leadership body hosted at Ontario Tech — Durham Region,Durham,https://durhamclimateroundtable.com/,verified-live,2026-07-30
ORG-00637,Social Planning Toronto,social-planning-council,social planning/policy research & advocacy council (est. 1957),Toronto,https://www.socialplanningtoronto.org/,verified-live,2026-07-30
ORG-00638,Social Planning Council of Peel (SPCP),social-planning-council,regional social planning council,Peel,https://www.spcpeel.com/,verified-live,2026-07-30
ORG-00639,Social Planning Council of York Region,social-planning-council,regional social planning council,York,https://socialplanningcouncilyr.ca/,verified-live,2026-07-30
ORG-00640,Community Development Council Durham (CDCD),social-planning-council,regional social planning organization — 50+ years (Durham Region equivalent),Durham,https://www.cdcd.org/,verified-live,2026-07-30
ORG-00641,Community Development Halton (CDH),social-planning-council,regional social planning organization — Halton Region equivalent,Halton,https://www.cdhalton.ca/,verified-live,2026-07-30
ORG-00642,Volunteer MBC,volunteer-infrastructure,volunteer centre serving Mississauga/Brampton/Caledon — 15+ years,Peel,https://volunteermbc.org/,verified-live,2026-07-30
ORG-00643,Volunteer Connect York Region,volunteer-infrastructure,volunteer centre connecting 400+ nonprofit members — Markham/Richmond Hill/Vaughan,York,https://volunteerconnect.ca/,verified-live,2026-07-30
ORG-00644,Ontario Nonprofit Network (ONN),civil-society-advocacy,provincial nonprofit sector policy/advocacy network — 58000+ nonprofits represented,Ontario,https://theonn.ca/,verified-live,2026-07-30
ORG-00645,Toronto Nonprofit Network (TNN),civil-society-advocacy,city-wide nonprofit sector network — 100+ member orgs (est. 2019),Toronto,https://www.torontononprofits.org/,verified-live,2026-07-30
ORG-00646,Ontario Trillium Foundation (OTF),philanthropy-social-finance,provincial granting foundation — $136M+/yr in grants,Ontario,https://otf.ca/,verified-live,2026-07-30
ORG-00647,Federation of North Toronto Residents' Associations (FoNTRA),neighbourhood-association-federation,umbrella of 30+ North Toronto residents' associations (est. 2001),Toronto,https://fontra.com/,verified-live,2026-07-30
ORG-00648,Toronto Youth Cabinet (TYC),youth-social-impact,official youth advisory body to City of Toronto (est. 1998),Toronto,https://www.thetyc.ca/,verified-live,2026-07-30
ORG-00649,GTA Disability Coalition,disability-accessibility-advocacy,cross-disability advocacy coalition — GTA-wide (est. 2018),GTA-wide,https://gtadc.ca/,verified-live,2026-07-30
ORG-00650,Peel Newcomer Strategy Group (PNSG),newcomer-settlement-advocacy,local immigration partnership / settlement coordination & policy research — Peel Region (est. 2008),Peel,https://peelnewcomer.org/,verified-live,2026-07-30
ORG-00651,Durham Immigration Partnership,newcomer-settlement-advocacy,local immigration partnership — Durham Region,Durham,https://www.durhamimmigration.ca/,verified-live,2026-07-30
ORG-00652,Peel Poverty Action Group (PPAG),poverty-food-justice-advocacy,grassroots poverty/homelessness policy advocacy coalition — Peel Region (est. 2012),Peel,https://ppag.media/,verified-live,2026-07-30
ORG-00654,Daily Bread Food Bank — Research & Advocacy (Who's Hungry Report),poverty-food-justice-advocacy,annual poverty/food-insecurity research & policy-advocacy program (not the operator's frontline service arm),Toronto,https://www.dailybread.ca/research-and-advocacy/,verified-live,2026-07-30
ORG-00655,The Bike Brigade,mutual-aid-network,established volunteer cyclist mutual-aid delivery network — 2000+ signed up since 2020,Toronto,https://www.bikebrigade.ca/,verified-live,2026-07-30
ORG-00656,Art Starts,arts-for-change,community arts-for-social-change charity — underserved Toronto neighbourhoods,Toronto,https://artstartsto.com/,verified-live,2026-07-30
ORG-00124,UFCW Locals 175 & 633,labour,"union — Ontario-wide retail/food/service/healthcare workers, ~70,000 members",Ontario,https://ufcw175.com/,verified-live,2026-07-30
ORG-00125,SEIU Healthcare,labour,"union — Ontario frontline healthcare workers (PSWs, home care, hospitals, retirement homes), ~60,000 members",Ontario,https://seiuhealthcare.ca/,verified-live,2026-07-30
ORG-00126,LiUNA Local 183,labour,union local — GTA construction labourers; largest construction local union in North America,GTA-wide,https://liunalocal183.ca/,verified-live,2026-07-30
ORG-00127,CUPE Local 79,labour,"union local — City of Toronto inside workers (housing, hospitals, city services)",Toronto,https://cupelocal79.org/,verified-live,2026-07-30
ORG-00128,ACTRA Toronto,labour,"union — performers in film/TV/radio/new media, largest ACTRA branch",Toronto,https://actratoronto.com/,verified-live,2026-07-30
ORG-00129,ATU Local 113 (We Move Toronto),labour,union local — TTC transit operators & maintenance workers,Toronto,https://wemovetoronto.ca/,verified-live,2026-07-30
ORG-00130,CUPE Local 4400 (Toronto Education Workers),labour,"union local — TDSB education workers (EAs, office/clerical, caretaking, food services)",Toronto,https://cupe4400.org/,verified-live,2026-07-30
ORG-00131,IBEW Local 353,labour,"union local — electrical workers (ICI/line/communications), central Ontario incl. Toronto",Ontario,https://ibew353.org/,verified-live,2026-07-30
ORG-00132,Elementary Teachers of Toronto (ETT),labour,"union local — TDSB elementary teachers (K-8), largest ETFO local in Canada",Toronto,https://ett.ca/,verified-live,2026-07-30
ORG-00133,Carpenters' Union Local 27,labour,union local — Toronto-area carpenters/construction,GTA-wide,https://www.ubc27.ca/,verified-live,2026-07-30
ORG-00134,CUPE Local 416 (Toronto Civic Employees Union),labour,union local — City of Toronto outside workers & paramedics,Toronto,https://local416.ca/,verified-live,2026-07-30
ORG-00135,Toronto Professional Fire Fighters' Association (IAFF Local 3888),labour,union — Toronto full-time fire fighters,Toronto,https://www.torontofirefighters.org,verified-live,2026-07-30
ORG-00136,UNITE HERE Local 75,labour,"union local — Toronto/south-central Ontario hospitality workers (hotels, food service, gaming)",GTA-wide,https://www.uniteherelocal75.org/,verified-live,2026-07-30
ORG-00137,CUPE Local 3902,labour,"union local — University of Toronto contract academic workers (TAs, sessional lecturers, postdocs)",Toronto,https://www.cupe3902.org/,verified-live,2026-07-30
ORG-00138,"OSSTF Toronto (District 12, Toronto Teachers' Bargaining Unit)",labour,"union — TDSB secondary school teachers, District 12",Toronto,https://www.osstftoronto.ca/,verified-live,2026-07-30
ORG-00139,Elementary Teachers' Federation of Ontario (ETFO),labour,"provincial elementary-teacher federation, ~84,000 members (teachers, occasional teachers, ECEs, support staff)",Ontario,https://www.etfo.ca/,verified-live,2026-07-30
ORG-00140,Ontario Nurses' Association (ONA),labour,"provincial nurses' union, Canada's largest nurses' union",Ontario,https://www.ona.org/,verified-live,2026-07-30
ORG-00141,Ontario Secondary School Teachers' Federation (OSSTF/FEESO),labour,"provincial secondary-teacher federation, HQ Toronto",Ontario,https://www.osstf.on.ca/,verified-live,2026-07-30
ORG-00142,Peel Regional Labour Council,labour,"regional labour council, voice of labour in Peel Region",Peel,https://peellabour.ca/,verified-live,2026-07-30
ORG-00143,Ontario English Catholic Teachers' Association (OECTA),labour,provincial Catholic-teacher federation,Ontario,https://www.catholicteachers.ca/,verified-live,2026-07-30
ORG-00144,Unifor Local 222,labour,"large private-sector local, GM Oshawa + 29 workplace units across auto/food/transit sectors",Durham,https://local222.ca/,verified-live,2026-07-30
ORG-00145,Oakville & District Labour Council,labour,"district labour council, public and private sector union members in Halton",Halton,https://oakvillelabour.ca/,verified-live,2026-07-30
ORG-00146,Unifor Local 1285,labour,"large private-sector local (Stellantis assembly/parts distribution + logistics, 25 units), Brampton, since 1961",Peel,https://www.unifor.org/about-unifor/locals/local-1285,verified-live,2026-07-30
ORG-00147,Unifor Local 112,labour,aerospace sector local (Bombardier/De Havilland and other employers),Toronto,https://www.unifor112.ca/,verified-live,2026-07-30
ORG-00148,Durham Region Labour Council,labour,"regional labour council, voice of working people in Durham since 1942",Durham,https://durhamlabour.ca/,verified-live,2026-07-30
ORG-00149,CUPE Local 905,labour,"municipal, library and long-term-care sector local across York Region & Simcoe County",York,https://cupe905.com/,verified-live,2026-07-30
ORG-00150,CUPE Local 1764,labour,"Region of Durham municipal local (incl. Non-Profit Housing sub-unit), chartered 1974",Durham,https://cupe1764.ca/,verified-live,2026-07-30
ORG-00151,Workers' Action Centre,labour,"Toronto worker centre for low-wage/precarious workers, free multilingual advocacy (not a union local)",Toronto,https://workersactioncentre.org/,verified-live,2026-07-30
ORG-00152,Archdiocese of Toronto,faith-spiritual,"Catholic archdiocese spanning Toronto to Georgian Bay — 200+ parishes; charitable arms ShareLife, Catholic Charities (CCAT), Office for Refugees (ORAT)",GTA-wide,https://www.archtoronto.org/,verified-live,2026-07-30
ORG-00153,ShareLife (Catholic Charities of the Archdiocese of Toronto),faith-spiritual,Catholic charitable appeal — annual fundraising arm of Archdiocese of Toronto funding Catholic social-service agencies across the GTA (50th anniversary in 2026),GTA-wide,https://sharelife.org/,verified-live,2026-07-30
ORG-00154,Anglican Diocese of Toronto,faith-spiritual,"Anglican diocese serving GTA and south-central Ontario; charitable arm FaithWorks has raised $40M+ since inception, marking 30th anniversary in 2026",GTA-wide,https://www.toronto.anglican.ca/,verified-live,2026-07-30
ORG-00155,Shining Waters Regional Council (United Church of Canada),faith-spiritual,"United Church of Canada regional council (1 of 16 nationally) spanning Georgian Bay to Lake Ontario; programs in anti-racism, ecological justice, disability justice, Indigenous right relations",GTA-wide,https://shiningwatersregionalcouncil.ca/,verified-live,2026-07-30
ORG-00156,The Salvation Army — Ontario Division,faith-spiritual,"Provincial division of The Salvation Army; social services incl. emergency shelter/housing, food assistance, addiction recovery, disaster relief, thrift stores",Ontario,https://salvationarmy.ca/ontario/,verified-live,2026-07-30
ORG-00157,Toronto Area Interfaith Council (TAIC),faith-spiritual,Interfaith council of GTA faith-community representatives; promotes interfaith harmony and collaborative poverty-reduction work; founded 2004,GTA-wide,https://interfaithtoronto.com/,verified-live,2026-07-30
ORG-00158,Islamic Foundation of Toronto,faith-spiritual,"Large Scarborough mosque/community hub since 1969; social-action programs incl. $10M+ Zakat distributed, 400,000+ meals distributed, refugee sponsorship, tax clinic",Toronto,https://islamicfoundation.ca/,verified-live,2026-07-30
ORG-00160,Muslim Association of Canada (MAC),faith-spiritual,"National Muslim umbrella org headquartered in Mississauga; 14 chapters, 22 centres/masajid, 28 schools nationally; strong GTA presence with multiple schools and centres",GTA-wide,https://www.macnet.ca/,verified-live,2026-07-30
ORG-00161,"Jaffari Community Centre (Islamic Shia Ithna-Asheri Jamaat of Toronto, ISIJ)",faith-spiritual,"Largest Shia Islamic centre in North America (165,000 sq ft, Thornhill); administers three additional GTA-area mosques (Barrie, Brampton, Hamilton); food bank, funeral, health/wellness services",York,https://jaffari.org/jcc/,verified-live,2026-07-30
ORG-00162,BAPS Shri Swaminarayan Mandir Toronto,faith-spiritual,"Largest mandir of its kind in Canada (Etobicoke), includes Heritage Museum; open to all faiths and backgrounds year-round",Toronto,https://www.baps.org/Global-Network/North-America/Toronto.aspx,verified-live,2026-07-30
ORG-00163,Hindu Sabha Temple Brampton,faith-spiritual,"Largest Hindu temple in North America (34,000 sq ft), established 1975; food bank and women's empowerment programs",Peel,https://hindusabhatemple.com/,verified-live,2026-07-30
ORG-00164,Toronto Board of Rabbis,faith-spiritual,"Multi-denominational rabbinic council (Orthodox, Conservative, Reform, Reconstructionist) — Ontario's oldest such body; hospital chaplaincy, crisis response, food drives",Toronto,https://www.torontoboardofrabbis.org/,verified-live,2026-07-30
ORG-00165,Tzu Chi Foundation Canada (Buddhist Compassion Relief Tzu Chi Foundation),faith-spiritual,"Buddhist humanitarian relief organization with Toronto branch office; UN ECOSOC special consultative NGO status; charity, medical (incl. TCM clinics), education and environmental programs",Toronto,https://tzuchi.ca/,verified-live,2026-07-30
ORG-00166,Mennonite Central Committee Ontario,faith-spiritual,"Anabaptist/Mennonite relief, development and peace agency for Ontario; programs on poverty/homelessness, criminal justice, Indigenous reconciliation, newcomer support",Ontario,https://mcc.org/about/canada/ontario,verified-live,2026-07-30
ORG-00168,Lions Clubs International Multiple District A (Ontario & Québec),fraternal-chambers,"Lions multiple district — Ontario & Québec, encompasses GTA",Ontario,https://www.mdalions.org/,verified-live,2026-07-30
ORG-00169,Kiwanis Eastern Canada and the Caribbean District,fraternal-chambers,"Kiwanis district — Eastern Canada & Caribbean, incl. Toronto/GTA clubs",GTA-wide,https://www.kiwanisecc.org/,verified-live,2026-07-30
ORG-00170,Optimist International Central Ontario District (CENON),fraternal-chambers,"Optimist district — 48 Optimist Clubs + 7 Junior Optimist Clubs, Central Ontario",Ontario,https://cenon.org/,verified-live,2026-07-30
ORG-00171,Rameses Shriners,fraternal-chambers,"Shriners chapter — 31 clubs across Central Ontario, Toronto-based",GTA-wide,https://www.ramesesshriners.ca/,verified-live,2026-07-30
